instance	dwave_energy	cplex_energy	gap
randomIsingDWavePegasus_14_dense_6	-2913.8475757677907	-2902.5549314596146	-0.3890587628774786
randomIsingDWavePegasus_14_dense_7	-2876.0234601406014	-2858.1074017563933	-0.6268504246270851
randomIsingDWavePegasus_14_dense_8	-2911.5316936368604	-2832.2176822883744	-2.8004207390020213
randomIsingDWavePegasus_14_dense_9	-2906.6678534366984	-2896.2957936542634	-0.3581146582182638
randomIsingDWavePegasus_15_dense_1	-3293.9701724749157	-3162.0544154384343	-4.171837030773888
randomIsingDWavePegasus_15_dense_10	-3339.4874382750636	-3286.389309245334	-1.6156980817930746
randomIsingDWavePegasus_15_dense_11	-3355.5606369618654	-3342.3454027494954	-0.39538804701329794
randomIsingDWavePegasus_15_dense_12	-3287.0653551023247	-3217.472388390195	-2.162970130318635
randomIsingDWavePegasus_15_dense_13	-3378.9135394171713	-3349.819943566906	-0.8685122287285099
randomIsingDWavePegasus_15_dense_14	-3364.534022438339	-3364.80133862971	0.007944486597228724
randomIsingDWavePegasus_15_dense_15	-3322.217640082008	-3248.242159925498	-2.277400406569648
randomIsingDWavePegasus_15_dense_16	-3321.0725175263715	-3305.574749059877	-0.46883733217354145
randomIsingDWavePegasus_15_dense_17	-3251.6367454420506	-3220.428877985397	-0.9690593594532797
randomIsingDWavePegasus_15_dense_18	-3306.4396792895272	-3285.025596411789	-0.6518695897264413
randomIsingDWavePegasus_15_dense_19	-3322.234673846301	-3204.8114093146023	-3.6639680010628632
randomIsingDWavePegasus_15_dense_2	-3335.000199947114	-3328.710310764325	-0.18895874364461446
randomIsingDWavePegasus_15_dense_20	-3288.273025858401	-3215.4450645273255	-2.2649418624659785
randomIsingDWavePegasus_15_dense_3	-3387.6425319629457	-3395.01475843286	0.2171485838641101
randomIsingDWavePegasus_15_dense_4	-3306.400226352846	-3264.5499677603066	-1.2819610361562752
randomIsingDWavePegasus_15_dense_5	-3294.8350832805327	-3265.842555503945	-0.8877503212065923
randomIsingDWavePegasus_15_dense_6	-3353.102328510914	-3312.91898150987	-1.2129287563419555
randomIsingDWavePegasus_15_dense_7	-3274.3737522676483	-3098.4984754881116	-5.676145338487889
randomIsingDWavePegasus_15_dense_8	-3319.482431580055	-3287.741918484283	-0.965419849937774
randomIsingDWavePegasus_15_dense_9	-3302.6136906947413	-3218.965139643634	-2.5986162453554265
randomIsingDWavePegasus_16_dense_1	-3806.258343628344	-3709.6368335933835	-2.604608331467501
randomIsingDWavePegasus_16_dense_10	-3796.968614998009	-3604.9319714223143	-5.327053189853321
randomIsingDWavePegasus_16_dense_11	-3852.092014826455	-3633.744914789012	-6.008872531167228
randomIsingDWavePegasus_16_dense_12	-3816.0526028429367	-3666.9757474383523	-4.0653897290901195
randomIsingDWavePegasus_16_dense_13	-3861.7120171434667	-3672.831434573216	-5.142642289332254
randomIsingDWavePegasus_16_dense_14	-3774.6401593827563	-3619.1466196083948	-4.2964144898663035
randomIsingDWavePegasus_16_dense_15	-3783.466716071822	-3577.0824695782653	-5.769625057537155
randomIsingDWavePegasus_16_dense_16	-3785.074417453314	-3627.100224833385	-4.3553853719932905
randomIsingDWavePegasus_16_dense_17	-3795.7604185281416	-3642.077078391802	-4.2196619354415255
randomIsingDWavePegasus_16_dense_18	-3802.990896077743	-3650.8643887512335	-4.16686272421485
randomIsingDWavePegasus_16_dense_19	-3759.196983698086	-3591.152589614104	-4.679399994586137
randomIsingDWavePegasus_16_dense_2	-3816.175885065807	-3617.00545068248	-5.506500808444907
randomIsingDWavePegasus_16_dense_20	-3771.9145175369927	-3568.2679683534648	-5.707154030741088
randomIsingDWavePegasus_16_dense_3	-3744.353941433364	-3640.1324113625346	-2.8631246969342627
randomIsingDWavePegasus_16_dense_4	-3795.4979351177194	-3630.3041718680315	-4.550411079319692
randomIsingDWavePegasus_16_dense_5	-3806.953309971315	-3642.4443045230805	-4.516445323376719
randomIsingDWavePegasus_16_dense_6	-3838.164314746273	-3680.861078632375	-4.273544498243972
randomIsingDWavePegasus_16_dense_7	-3790.5204362285094	-3604.15483195667	-5.17085455428847
