instance,num_var,density,velox_energy,gap,runtime_velox
3R3X_Ising_Float64_7_v=1.0.h5,80000,7.49984375e-5,-151996.0,5.0025,3.882381228
3R3X_Ising_Float64_8_v=1.0.h5,80000,7.49984375e-5,-151938.0,5.03875,3.882038299
3R3X_Ising_Float64_9_v=1.0.h5,80000,7.499875e-5,-152006.0,4.9962497,3.966554217
3R3X_Ising_Float64_10_v=1.0.h5,80000,7.499875e-5,-151950.0,5.03125,3.857354106
3R3X_Ising_Float64_1_v=1.0.h5,90000,6.666469135802469e-5,-170904.0,5.0533333,4.384040053
3R3X_Ising_Float64_2_v=1.0.h5,90000,6.666493827160494e-5,-170960.0,5.022222,4.604758176
3R3X_Ising_Float64_3_v=1.0.h5,90000,6.666543209876543e-5,-170914.0,5.0477777,4.441573728
3R3X_Ising_Float64_4_v=1.0.h5,90000,6.666444444444445e-5,-170962.0,5.0211115,4.429488181
3R3X_Ising_Float64_5_v=1.0.h5,90000,6.666518518518518e-5,-170936.0,5.035556,4.406354393
3R3X_Ising_Float64_6_v=1.0.h5,90000,6.666617283950618e-5,-170920.0,5.044444,4.362165316
3R3X_Ising_Float64_7_v=1.0.h5,90000,6.666617283950618e-5,-170958.0,5.0233335,4.375604674
3R3X_Ising_Float64_8_v=1.0.h5,90000,6.666641975308642e-5,-170922.0,5.0433335,4.49390069
3R3X_Ising_Float64_9_v=1.0.h5,90000,6.666567901234569e-5,-170964.0,5.02,4.43301764
3R3X_Ising_Float64_10_v=1.0.h5,90000,6.666518518518518e-5,-170902.0,5.0544443,4.396101499
3R3X_Ising_Float64_1_v=1.0.h5,100000,5.99988e-5,-189924.0,5.038,4.794330935
3R3X_Ising_Float64_2_v=1.0.h5,100000,5.9999e-5,-189870.0,5.065,4.804007272
3R3X_Ising_Float64_3_v=1.0.h5,100000,5.99984e-5,-189874.0,5.0629997,4.800821025
3R3X_Ising_Float64_4_v=1.0.h5,100000,5.99986e-5,-189908.0,5.046,4.799868144
3R3X_Ising_Float64_5_v=1.0.h5,100000,5.99988e-5,-189884.0,5.058,4.892422182
3R3X_Ising_Float64_6_v=1.0.h5,100000,5.99992e-5,-189960.0,5.02,4.853342631
3R3X_Ising_Float64_7_v=1.0.h5,100000,5.99998e-5,-189986.0,5.007,4.820034711
3R3X_Ising_Float64_8_v=1.0.h5,100000,5.99988e-5,-189914.0,5.043,4.80067797
