instance,num_var,ground_energy,sbm_energy,gap,sbm_runtime
3R3X_Ising_with_HUBO_Float64_1000_4_sparse.h5,1000,-500.0,-441.5,11.700000000000001,0.063734457
3R3X_Ising_with_HUBO_Float64_1000_5_sparse.h5,1000,-500.0,-441.0,11.799999999999999,0.063645833
3R3X_Ising_with_HUBO_Float64_1000_6_sparse.h5,1000,-500.0,-442.0,11.600000000000001,0.064135326
3R3X_Ising_with_HUBO_Float64_1000_7_sparse.h5,1000,-500.0,-439.0,12.2,0.063510318
3R3X_Ising_with_HUBO_Float64_1000_8_sparse.h5,1000,-500.0,-441.5,11.700000000000001,0.063650267
3R3X_Ising_with_HUBO_Float64_1000_9_sparse.h5,1000,-500.0,-442.0,11.600000000000001,0.06409302
3R3X_Ising_with_HUBO_Float64_2000_10_sparse.h5,2000,-1000.0,-877.5,12.25,0.077411559
3R3X_Ising_with_HUBO_Float64_2000_1_sparse.h5,2000,-1000.0,-886.5,11.35,0.077648479
3R3X_Ising_with_HUBO_Float64_2000_2_sparse.h5,2000,-1000.0,-876.0,12.4,0.07814956
3R3X_Ising_with_HUBO_Float64_2000_3_sparse.h5,2000,-1000.0,-880.0,12.0,0.076935967
3R3X_Ising_with_HUBO_Float64_2000_4_sparse.h5,2000,-1000.0,-876.5,12.35,0.077988067
3R3X_Ising_with_HUBO_Float64_2000_5_sparse.h5,2000,-1000.0,-875.0,12.5,0.077649806
3R3X_Ising_with_HUBO_Float64_2000_6_sparse.h5,2000,-1000.0,-874.5,12.55,0.078013332
3R3X_Ising_with_HUBO_Float64_2000_7_sparse.h5,2000,-1000.0,-873.5,12.65,0.077549187
3R3X_Ising_with_HUBO_Float64_2000_8_sparse.h5,2000,-1000.0,-874.5,12.55,0.078326006
3R3X_Ising_with_HUBO_Float64_2000_9_sparse.h5,2000,-1000.0,-874.0,12.6,0.077504424
3R3X_Ising_Float64_1_v=1.0.h5,10000,-20000.0,-17310.0,13.450000000000001,1.049769643
3R3X_Ising_Float64_2_v=1.0.h5,10000,-20000.0,-17308.0,13.459999999999999,1.048542187
3R3X_Ising_Float64_3_v=1.0.h5,10000,-20000.0,-17306.0,13.469999999999999,1.046053593
3R3X_Ising_Float64_4_v=1.0.h5,10000,-20000.0,-17338.0,13.309999999999999,1.045736854
3R3X_Ising_Float64_5_v=1.0.h5,10000,-20000.0,-17302.0,13.489999999999998,1.045920077
3R3X_Ising_Float64_6_v=1.0.h5,10000,-20000.0,-17324.0,13.38,1.045883608
3R3X_Ising_Float64_7_v=1.0.h5,10000,-20000.0,-17292.0,13.54,1.04553947
3R3X_Ising_Float64_8_v=1.0.h5,10000,-20000.0,-17312.0,13.44,1.045614486
3R3X_Ising_Float64_9_v=1.0.h5,10000,-20000.0,-17318.0,13.41,1.047714653
3R3X_Ising_Float64_10_v=1.0.h5,10000,-20000.0,-17326.0,13.370000000000001,1.046409722
3R3X_Ising_Float64_1_v=1.0.h5,20000,-40000.0,-34558.0,13.605,3.900946981
3R3X_Ising_Float64_2_v=1.0.h5,20000,-40000.0,-34610.0,13.475000000000001,3.87228075
3R3X_Ising_Float64_3_v=1.0.h5,20000,-40000.0,-34502.0,13.745,3.875592392
3R3X_Ising_Float64_4_v=1.0.h5,20000,-40000.0,-34494.0,13.764999999999999,3.870619586
3R3X_Ising_Float64_5_v=1.0.h5,20000,-40000.0,-34488.0,13.780000000000001,3.872118706
3R3X_Ising_Float64_6_v=1.0.h5,20000,-40000.0,-34478.0,13.805,3.873409657
3R3X_Ising_Float64_7_v=1.0.h5,20000,-40000.0,-34490.0,13.775,3.879228549
3R3X_Ising_Float64_8_v=1.0.h5,20000,-40000.0,-34456.0,13.86,3.870337554
3R3X_Ising_Float64_9_v=1.0.h5,20000,-40000.0,-34482.0,13.794999999999998,3.86924086
3R3X_Ising_Float64_10_v=1.0.h5,20000,-40000.0,-34490.0,13.775,3.898733603
3R3X_Ising_Float64_1_v=1.0.h5,30000,-60000.0,-51684.0,13.86,8.433964788
3R3X_Ising_Float64_2_v=1.0.h5,30000,-60000.0,-51702.0,13.83,8.432092772
3R3X_Ising_Float64_3_v=1.0.h5,30000,-60000.0,-51618.0,13.969999999999999,8.634830965
3R3X_Ising_Float64_4_v=1.0.h5,30000,-60000.0,-51646.0,13.923333333333332,8.431679271
3R3X_Ising_Float64_5_v=1.0.h5,30000,-60000.0,-51684.0,13.86,8.436849688
3R3X_Ising_Float64_6_v=1.0.h5,30000,-60000.0,-51660.0,13.900000000000002,8.434479325
3R3X_Ising_Float64_7_v=1.0.h5,30000,-60000.0,-51724.0,13.793333333333333,8.436843108
3R3X_Ising_Float64_8_v=1.0.h5,30000,-60000.0,-51634.0,13.943333333333333,8.433073435
3R3X_Ising_Float64_9_v=1.0.h5,30000,-60000.0,-51626.0,13.956666666666667,8.439660974
3R3X_Ising_Float64_10_v=1.0.h5,30000,-60000.0,-51650.0,13.916666666666666,8.432016053
3R3X_Ising_Float64_1_v=1.0.h5,40000,-80000.0,-68782.0,14.022499999999999,14.892871858
3R3X_Ising_Float64_2_v=1.0.h5,40000,-80000.0,-68784.0,14.02,14.887648535
3R3X_Ising_Float64_3_v=1.0.h5,40000,-80000.0,-68998.0,13.752500000000001,14.893800338
3R3X_Ising_Float64_4_v=1.0.h5,40000,-80000.0,-68960.0,13.8,14.887873633
3R3X_Ising_Float64_5_v=1.0.h5,40000,-80000.0,-68922.0,13.847499999999998,14.890835307
3R3X_Ising_Float64_6_v=1.0.h5,40000,-80000.0,-68842.0,13.947499999999998,14.881367077
3R3X_Ising_Float64_7_v=1.0.h5,40000,-80000.0,-68924.0,13.844999999999999,14.887372881
3R3X_Ising_Float64_8_v=1.0.h5,40000,-80000.0,-68808.0,13.99,14.889250063
3R3X_Ising_Float64_9_v=1.0.h5,40000,-80000.0,-68824.0,13.969999999999999,14.881413548
3R3X_Ising_Float64_10_v=1.0.h5,40000,-80000.0,-69048.0,13.69,14.927520586
3R3X_Ising_Float64_1_v=1.0.h5,50000,-100000.0,-86000.0,14.000000000000002,22.088747567
3R3X_Ising_Float64_2_v=1.0.h5,50000,-100000.0,-86024.0,13.975999999999999,22.12940842
3R3X_Ising_Float64_3_v=1.0.h5,50000,-100000.0,-85922.0,14.078,22.169662608
3R3X_Ising_Float64_4_v=1.0.h5,50000,-100000.0,-86028.0,13.972000000000001,22.092378749
3R3X_Ising_Float64_5_v=1.0.h5,50000,-100000.0,-86050.0,13.950000000000001,22.093147116
3R3X_Ising_Float64_6_v=1.0.h5,50000,-100000.0,-86012.0,13.988,22.081224974
3R3X_Ising_Float64_7_v=1.0.h5,50000,-100000.0,-85984.0,14.016,22.097786813
3R3X_Ising_Float64_8_v=1.0.h5,50000,-100000.0,-85936.0,14.063999999999998,22.091824029
3R3X_Ising_Float64_9_v=1.0.h5,50000,-100000.0,-85938.0,14.062,22.068725901
3R3X_Ising_Float64_10_v=1.0.h5,50000,-100000.0,-86052.0,13.947999999999999,22.1971751
3R3X_Ising_Float64_1_v=1.0.h5,60000,-120000.0,-103164.0,14.030000000000001,32.985574052
3R3X_Ising_Float64_2_v=1.0.h5,60000,-120000.0,-103106.0,14.078333333333335,32.931582699
3R3X_Ising_Float64_3_v=1.0.h5,60000,-120000.0,-103146.0,14.045,32.992686264
3R3X_Ising_Float64_4_v=1.0.h5,60000,-120000.0,-103060.0,14.116666666666667,32.933055183
3R3X_Ising_Float64_5_v=1.0.h5,60000,-120000.0,-103208.0,13.993333333333332,32.93982991
3R3X_Ising_Float64_6_v=1.0.h5,60000,-120000.0,-103226.0,13.978333333333333,32.982172459
3R3X_Ising_Float64_7_v=1.0.h5,60000,-120000.0,-103156.0,14.036666666666667,33.055271552
3R3X_Ising_Float64_8_v=1.0.h5,60000,-120000.0,-103202.0,13.998333333333331,33.053345236
3R3X_Ising_Float64_9_v=1.0.h5,60000,-120000.0,-103072.0,14.106666666666667,32.990208443
3R3X_Ising_Float64_10_v=1.0.h5,60000,-120000.0,-103146.0,14.045,32.977538464
